COREF,start_token,end_token,prop,cat,text
51,8,9,PROP,PER,Buffalo Bill
52,477,477,PROP,PER,Pawnee
53,479,479,PROP,PER,Sioux
54,485,485,PROP,PER,Blackfoot
55,1005,1006,PROP,PER,Professor Marsh
56,1234,1234,PROP,PER,Crows
57,1281,1282,PROP,PER,General Alison
58,1302,1303,PROP,PER,Colonel Drake
59,1313,1314,PROP,PER,Mrs. Drake
60,1322,1323,PROP,PER,Mrs. Marsh
61,1357,1358,PROP,PER,Tommy Drake
62,1360,1361,PROP,PER,Fanny Marsh
63,1570,1570,PROP,PER,Potter
64,1579,1581,PROP,PER,the great Dane
65,1593,1593,PROP,PER,Shekels
66,1694,1700,PROP,PER,"MY dear Brother - in - Law_,â€”Please"
67,1984,1984,PROP,PER,Cathy
68,2338,2338,PROP,PER,Mamma
69,2419,2421,PROP,PER,Poor little anty
70,2558,2558,PROP,PER,MERCEDES
71,2618,2618,PROP,PER,Mother
72,2695,2699,PROP,PER,illustrious old Thunder - Bird
73,2947,2947,PROP,PER,George
74,2988,2990,PROP,PER,Lightning - Bug
75,3016,3017,PROP,PER,Major Fuller
76,3444,3445,PROP,PER,IV CATHY
77,3825,3826,PROP,PER,Mammy Dorcas
78,3839,3841,PROP,PER,Sour - Mash
79,4351,4352,PROP,PER,White Cloud
80,6219,6220,PROP,PER,Marse Tom
15,7394,7394,PROP,PER,Spain
83,8160,8162,PROP,PER,VI SOLDIER BOY
84,8254,8255,PROP,PER,Hank Butters
85,8311,8312,PROP,PER,Blake Haskins
86,9861,9862,PROP,PER,the Sixteen
87,9870,9872,PROP,PER,Rocky Mountain Rangers
88,9891,9891,PROP,PER,Bugler
89,10445,10446,PROP,PER,little Injuns
90,11520,11520,PROP,PER,Wings
91,11620,11621,PROP,PER,Professor Cope
92,11790,11790,PROP,PER,Mongrel
93,12164,12166,PROP,PER,VII SOLDIER BOY
94,12182,12184,PROP,PER,the Mexican Plug
95,12913,12917,PROP,PER,VIII THE SCOUT - START
96,12938,12939,PROP,PER,The Seventh
97,12976,12976,PROP,PER,Glad
98,12997,12997,PROP,PER,Thorndike
99,13029,13035,PROP,PER,you incomparable little soldier!â€”and I do nâ€™t
100,13185,13186,PROP,PER,Jimmy Slade
101,13256,13257,PROP,PER,Sergeant Wilkes
102,14092,14092,PROP,PER,Pomp
103,14094,14094,PROP,PER,CÃ¦sar
104,14096,14096,PROP,PER,Jerry
105,14466,14467,PROP,PER,little Spaniard
106,14589,14591,PROP,PER,X GENERAL ALISON
107,14640,14640,PROP,PER,Famine
108,14658,14658,PROP,PER,Sardanapalus
109,15034,15034,PROP,PER,Animals
110,16370,16374,PROP,PER,Lieutenant - Colonel Agnes Frisbie
111,17236,17236,PROP,PER,Antonio
112,17282,17283,PROP,PER,the Don
113,19094,19096,PROP,PER,Sage - Brush
114,19123,19123,PROP,PER,Man
116,19860,19861,PROP,PER,General Burnaby
117,20277,20277,PROP,PER,Johnny
118,20631,20633,PROP,PER,XIV SOLDIER BOY
